class	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU_1450"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1451"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1452"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1453"	"Bacteria"	"SBR1093"	NA	NA	NA	NA	NA
"OTU_1454"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	NA
"OTU_1455"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	NA
"OTU_1456"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1457"	"Bacteria"	"Gemmatimonadetes"	"Longimicrobia"	"Longimicrobiales"	"Longimicrobiaceae"	NA	NA
"OTU_1458"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1459"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"PHOS-HE51"	NA	NA
"OTU_1460"	"Bacteria"	"Chlamydiae"	"Chlamydiae"	"Chlamydiales"	"Parachlamydiaceae"	"Candidatus_Rubidus"	NA
"OTU_1461"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1462"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1463"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Acidimicrobiaceae"	NA	NA
"OTU_1464"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	NA	NA
"OTU_1465"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1466"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"HOC36"	NA	NA	NA
"OTU_1467"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1468"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA
"OTU_1469"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Sporocytophaga"	NA
"OTU_1470"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU_1471"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1472"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1473"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1474"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1475"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1476"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1477"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1478"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1479"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	NA
"OTU_1480"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1481"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hirschia"	NA
"OTU_1482"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1483"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	"Roseiflexus"	NA
"OTU_1484"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	NA	NA	NA
"OTU_1485"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Sandaracinaceae"	"Sandaracinus"	NA
"OTU_1486"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1487"	"Bacteria"	"Acidobacteria"	"Subgroup_5"	NA	NA	NA	NA
"OTU_1488"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1489"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1490"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	"Haliangium"	NA
"OTU_1491"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1492"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1493"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1494"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1495"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"env.OPS_17"	NA	NA
"OTU_1496"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"FFCH7168"	NA	NA
"OTU_1497"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1498"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"KF-JG30-B3"	NA	NA
"OTU_1499"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1500"	"Bacteria"	"Saccharibacteria"	NA	NA	NA	NA	NA
"OTU_1501"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"	NA
"OTU_1502"	"Bacteria"	"Parcubacteria"	"Candidatus_Adlerbacteria"	NA	NA	NA	NA
"OTU_1503"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"NS9_marine_group"	NA	NA
"OTU_1504"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1505"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1506"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1507"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Flexibacter"	NA
"OTU_1508"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1509"	"Bacteria"	"Tectomicrobia"	"Tectomicrobia_Incertae_Sedis"	"Unknown_Order"	"Unknown_Family"	"Candidatus_Entotheonella"	NA
"OTU_1510"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"KI89A_clade"	NA	NA	NA
"OTU_1511"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1512"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	NA	NA
"OTU_1513"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	NA	NA
"OTU_1514"	"Bacteria"	"Acidobacteria"	"Subgroup_22"	NA	NA	NA	NA
"OTU_1515"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1516"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1517"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1518"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	NA	NA	NA
"OTU_1519"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	NA	NA	NA
"OTU_1520"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	NA	NA
"OTU_1521"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1522"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1523"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Kallotenuales"	"AKIW781"	NA	NA
"OTU_1524"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1525"	"Bacteria"	"TM6_(Dependentiae)"	NA	NA	NA	NA	NA
"OTU_1526"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Promicromonosporaceae"	"Isoptericola"	NA
"OTU_1527"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"MNG7"	NA	NA
"OTU_1528"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1529"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Microvirga"	NA
"OTU_1530"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	NA	NA
"OTU_1531"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1532"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1533"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1534"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Kallotenuales"	"AKIW781"	NA	NA
"OTU_1535"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	NA
"OTU_1536"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1537"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"Gemmata"	NA
"OTU_1538"	"Bacteria"	"Chloroflexi"	"Ardenticatenia"	NA	NA	NA	NA
"OTU_1539"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1540"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1541"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"mle1-27"	NA	NA
"OTU_1542"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1543"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1544"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1545"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	NA	NA
"OTU_1546"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1547"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	NA
"OTU_1548"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1549"	NA	NA	NA	NA	NA	NA	NA
"OTU_1550"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"FFCH7168"	NA	NA
"OTU_1551"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes_Incertae_Sedis"	"Order_II"	"Rhodothermaceae"	NA	NA
"OTU_1552"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"OTU_1553"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"OTU_1554"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1555"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1556"	"Bacteria"	"TM6_(Dependentiae)"	NA	NA	NA	NA	NA
"OTU_1557"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1558"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1559"	"Eukaryota"	NA	NA	NA	NA	NA	NA
